#{"t_start": 1783036903.96592, "env_id": "None"}
r,l,t
5.4200964,14,15.358629
4.3330717,15,15.37059
1.0704505,4,15.377504
8.113245,21,15.391153
7.2973127,17,15.415971
1.3672918,5,15.424037
18.089668,50,15.61113
0.65997064,3,15.616703
7.604618,16,15.641654
162.15958,512,15.65117
13.027455,46,15.721285
68.16261,220,15.725354
1.422219,8,15.735178
5.018145,17,15.760812
25.321716,77,15.760863
1.6570189,7,15.772471
10.584259,33,15.777684
4.1274343,16,15.796778
11.480814,29,15.821129
47.357056,165,15.83729
8.169279,32,15.845938
18.57539,64,15.859767
3.6893542,19,15.867829
6.806157,29,15.910524
10.902608,35,15.912975
10.157078,17,15.937337
12.111807,22,15.943477
4.246706,16,15.96089
6.582291,17,15.968763
3.99771,13,15.989256
37.740307,113,15.992997
5.822824,24,15.999575
6.8588862,14,16.014283
7.8985095,21,16.030432
9.520015,21,16.045045
1.1674471,4,16.051771
10.047929,45,16.058022
11.775496,48,16.128219
28.536854,88,16.179123
82.992485,263,16.236419
11.840252,43,16.242845
2.3311176,11,16.253788
52.578007,159,16.26514
9.474352,20,16.285007
34.32563,108,16.288914
11.739724,33,16.33709
12.14054,38,16.342745
1.6256841,5,16.34677
3.8819473,9,16.358251
3.9489324,17,16.382597
15.628205,53,16.458446
38.57322,110,16.507918
58.68821,193,16.551955
5.0393195,16,16.575171
7.1788764,27,16.615441
49.995632,164,16.700364
8.433917,27,16.742732
4.904593,14,16.763226
55.406593,173,16.765426
6.2470603,27,16.803279
61.583603,168,16.86278
33.59211,95,16.899926
8.299327,34,16.912144
22.365063,55,16.978826
170.70781,512,16.997186
6.4626727,28,17.018596
56.397774,166,17.042912
8.954462,18,17.06915
0.049533654,4,17.075761
64.889786,199,17.351611
9.707867,31,17.396921
52.860535,187,17.442722
0.99065286,8,17.456296
4.629587,13,17.479461
16.503674,68,17.50162
67.76317,185,17.501665
1.728534,5,17.510661
88.420685,251,17.52365
5.8932605,15,17.527284
3.7340999,13,17.532496
2.723839,7,17.536088
1.713396,5,17.541307
0.7300893,4,17.543464
1.7495035,7,17.552535
3.1424599,8,17.557649
16.837757,52,17.566048
7.4963074,14,17.580406
16.679405,35,17.587549
12.784418,30,17.603595
10.608402,32,17.617373
16.480713,62,17.682383
31.019953,112,17.774064
24.926289,60,17.774123
35.473988,115,17.792164
1.257274,3,17.797319
5.6437817,24,17.810945
1.6679316,8,17.823229
17.89161,73,17.902682
9.455075,23,17.935073
1.2878841,5,17.942943
0.63055694,6,17.952226
38.897274,130,18.008703
5.776537,18,18.03515
21.485893,64,18.044286
6.162616,13,18.05509
3.4774077,10,18.06974
0.64565253,3,18.075031
2.5724018,11,18.092747
79.46212,217,18.092799
8.544718,21,18.122929
22.57805,65,18.142422
9.113022,21,18.154396
132.22388,412,18.19442
18.287712,50,18.218079
11.4982,40,18.25463
20.852055,65,18.316308
4.7701373,12,18.335063
44.662624,139,18.365521
10.303984,18,18.391895
18.083612,45,18.405266
29.072527,85,18.52112
33.79524,123,18.588704
3.0577986,9,18.60281
3.061049,8,18.615887
6.635553,13,18.636992
6.4825797,17,18.66689
5.1093397,16,18.695748
33.989967,118,18.714313
1.6463883,5,18.726205
7.3518195,21,18.738128
6.3667216,24,18.770208
155.18394,464,18.822409
125.64516,398,19.036703
16.297642,50,19.048987
44.11476,132,19.094209
3.0209248,5,19.102119
44.56833,132,19.120847
82.75987,228,19.365562
1.6335224,14,19.387646
8.148017,29,19.43106
3.435788,13,19.451481
84.815155,280,19.457017
92.07819,281,19.533345
41.257576,129,19.644229
4.212168,11,19.661236
2.7747025,9,19.675916
5.264443,14,19.697204
61.09369,161,19.699381
35.913063,116,19.707843
9.838663,21,19.733731
3.3256505,12,19.752253
5.3345,17,19.777842
23.393116,60,19.792811
8.2367525,29,19.823577
11.498721,26,19.862644
156.68282,512,19.866441
4.3750157,8,19.875946
4.7315445,16,19.893059
7.560556,19,19.921371
41.27735,107,19.957077
7.1776285,19,19.984541
3.7141743,16,20.009176
12.100623,38,20.06287
2.1514933,22,20.094577
2.4684937,10,20.111641
17.946297,58,20.195273
69.90945,195,20.211119
2.3683338,9,20.227617
4.161412,11,20.248434
97.9051,353,20.251089
15.236717,52,20.289368
11.833237,36,20.309134
0.47860008,1,20.311508
-0.33553421,2,20.315847
30.191946,72,20.403132
19.187965,58,20.492916
3.8710244,14,20.516272
47.710674,144,20.542546
59.548794,190,20.555482
6.526175,15,20.776509
5.516352,15,20.803747
0.47465715,3,20.809551
19.06231,66,20.851842
8.619681,27,20.856044
1.385142,9,20.868588
154.3711,512,20.885032
11.376287,26,20.925367
52.296337,160,21.109722
117.14267,308,21.194375
71.266464,205,21.227615
4.6797094,18,21.253904
52.436863,156,21.334999
12.036492,42,21.397117
12.46639,31,21.441958
153.55103,460,21.539362
5.590981,28,21.581317
75.9908,234,21.599955
4.5599337,12,21.600014
48.357292,136,21.648237
14.251656,49,21.673737
7.835829,21,21.68023
35.698254,96,21.744623
13.263414,48,21.752611
2.7261436,6,21.754814
29.147602,99,21.823314
158.88884,512,21.955198
40.306396,140,21.963753
54.310837,163,21.995715
1.6228043,6,22.006243
24.451982,75,22.072014
10.962416,24,22.106194
27.521154,72,22.108655
-0.2039943,3,22.114198
3.3033116,9,22.122347
10.110784,22,22.153614
1.6829449,10,22.168315
52.815727,169,22.202933
1.5536776,6,22.212487
2.4233937,10,22.228623
86.78389,276,22.232284
22.463251,55,22.251427
1.2021754,3,22.256414
13.846688,43,22.295064
17.715986,38,22.467128
0.565041,4,22.473924
0.13986486,3,22.479327
3.8061876,8,22.492499
3.8574088,21,22.525359
6.9728503,18,22.55396
8.027138,19,22.582493
2.4303472,12,22.600598
92.43655,280,22.693384
63.43186,173,22.717175
4.5775304,16,22.71973
12.514831,36,22.777479
49.921394,139,22.816342
6.0492063,16,22.843222
16.327217,63,22.878733
37.939613,100,22.878802
23.153233,53,22.928289
1.3226128,5,22.937086
12.85323,28,22.980964
24.415924,62,23.071468
48.13981,132,23.081062
53.29446,137,23.088962
165.0507,512,23.17066
5.281512,8,23.182646
18.61327,76,23.198833
7.3653827,17,23.225746
8.036135,30,23.229731
37.136383,106,23.229769
0.37399235,2,23.234053
9.024463,21,23.262835
2.45012,8,23.277305
16.328405,42,23.299148
7.52921,16,23.301294
0.4683384,7,23.311208
68.24785,175,23.345875
17.243866,41,23.370817
18.079788,38,23.408301
7.1204014,21,23.408363
11.451952,35,23.466387
45.723858,140,23.52639
4.1415315,12,23.546974
21.069704,58,23.562098
16.76242,46,23.633546
43.67682,139,23.762639
121.89795,359,23.793362
98.091606,282,23.850108
3.1852212,17,23.875103
68.46769,177,23.899735
72.37643,240,24.382588
94.84634,298,24.387692
0.46395034,2,24.391784
41.83539,113,24.547197
14.410815,44,24.616116
120.52534,381,24.618584
1.8242021,9,24.632014
158.3083,484,24.636411
3.2430465,7,24.646047
-0.7772757,6,24.656641
3.9961166,8,24.671102
2.2614746,14,24.694041
34.058987,86,24.765523
12.540187,22,24.799615
1.9553499,9,24.814129
48.493088,136,24.857097
10.395152,31,24.861188
3.9016674,15,24.883629
51.4445,144,24.918365
17.946175,43,24.922228
11.846231,33,24.970774
6.684874,23,25.004886
